id,name,Result
✅ UPDATED in human_collection table,24117,constituent_id=16247
Q516134,Koenigliche Porzellan Manufaktur,Already exists
✅ UPDATED in human_collection table,5125,constituent_id=3789
Q55218122,Frederick Marquand,Already exists
✅ UPDATED in human_collection table,4415,constituent_id=140
Q68498026,Joseph Richardson Sr.,Already exists
✅ UPDATED in human_collection table,6123,constituent_id=141
Q68449847,Joseph Richardson Jr.,Already exists
✅ UPDATED in human_collection table,5350,constituent_id=143
Q67044542,Tucker Factory,Already exists
✅ UPDATED in human_collection table,3553,constituent_id=143
Q72399788,Christian Wiltberger,Already exists
✅ UPDATED in human_collection table,5039,constituent_id=16605
Q15995922,Florence Koehler,Already exists
✅ UPDATED in human_collection table,2682,constituent_id=143
Q48977226,Bryce Brothers,Already exists
✅ UPDATED in human_collection table,8751,constituent_id=144
Q69055106,Nicholas Roosevelt,Already exists
✅ UPDATED in human_collection table,6073,constituent_id=144
Q55217980,Ebenezer Moulton,Already exists
✅ UPDATED in human_collection table,5004,constituent_id=145
Q98908500,Elias Pelletreau,Already exists
✅ UPDATED in human_collection table,5884,constituent_id=129
Q6780156,M. Louise McLaughlin,Already exists
✅ UPDATED in human_collection table,3002,constituent_id=16432
Q67472572,William W. Gilbert,Already exists
✅ UPDATED in human_collection table,5502,constituent_id=147
Q72701764,Hugh Wishart,Already exists
✅ UPDATED in human_collection table,4544,constituent_id=148
Q98108230,Daniel Van Voorhis,Already exists
✅ UPDATED in human_collection table,5377,constituent_id=145
Q64498669,Rose factory,Already exists
✅ UPDATED in human_collection table,6644,constituent_id=148
Q2072152,Chelsea Factory,Already exists
✅ UPDATED in human_collection table,5582,constituent_id=439
Q26945291,Samuel Casey,Already exists
✅ UPDATED in human_collection table,6021,constituent_id=149
Q1755473,Peter Young,Already exists
✅ UPDATED in human_collection table,24292,constituent_id=150
Q67197014,William G. Forbes,Already exists
✅ UPDATED in human_collection table,5369,constituent_id=150
Q67145850,William Cowell Sr.,Already exists
✅ UPDATED in human_collection table,6490,constituent_id=152
Q6184867,Jersey Glass Company of George Dummer,Already exists
✅ UPDATED in human_collection table,3626,constituent_id=153
Q97958815,South Boston Flint Glass Works,Already exists
✅ UPDATED in human_collection table,8752,constituent_id=147
Q3816631,Bow Porcelain Factory,Already exists
✅ UPDATED in human_collection table,5481,constituent_id=3473
Q68034180,Samuel Minott,Already exists
✅ UPDATED in human_collection table,5766,constituent_id=157
Q30589203,William Will,Already exists
✅ UPDATED in human_collection table,5581,constituent_id=157
Q7520049,Simon Willard,Already exists
✅ UPDATED in human_collection table,5323,constituent_id=158
Q54958143,American Encaustic Tile Company,Already exists
✅ UPDATED in human_collection table,2223,constituent_id=16285
Q1610297,Toby E. Rosenthal,Already exists
✅ UPDATED in human_collection table,2997,constituent_id=159
Q45732080,Julius Dessoir,Already exists
✅ UPDATED in human_collection table,4336,constituent_id=159
Q8005269,William Beattie,Already exists
✅ UPDATED in human_collection table,4543,constituent_id=16624
Q3120087,John La Farge,Already exists
✅ UPDATED in human_collection table,3326,constituent_id=16204
Q98937720,Dyottville Glass Works,Already exists
✅ UPDATED in human_collection table,3364,constituent_id=161
Q19587243,Tiffany Studios,Already exists
✅ UPDATED in human_collection table,1437,constituent_id=16254
Q8008569,William Ellis Tucker,Already exists
✅ UPDATED in human_collection table,8753,constituent_id=163
Q18508740,William P. Babcock,Already exists
✅ UPDATED in human_collection table,3569,constituent_id=164
Q52149383,Enoch Wood,Already exists
✅ UPDATED in human_collection table,5192,constituent_id=16605
Q21498211,Ralph Wood the Younger,Already exists
✅ UPDATED in human_collection table,5456,constituent_id=16509
Q98831465,Emile Dupont-Zipcy,Already exists
✅ UPDATED in human_collection table,3685,constituent_id=165
Q7341836,Robert Ball Hughes,Already exists
✅ UPDATED in human_collection table,4186,constituent_id=165
Q5762066,Victor David Brenner,Already exists
✅ UPDATED in human_collection table,2363,constituent_id=16318
Q15896863,Jean Ossaye Mombur,Already exists
✅ UPDATED in human_collection table,2940,constituent_id=166
Q41402,Gilbert Stuart,Already exists
✅ UPDATED in human_collection table,5281,constituent_id=16249
Q6740501,Miyagawa Kozan,Already exists
✅ UPDATED in human_collection table,3139,constituent_id=413
Q1985982,William Trost Richards,Already exists
✅ UPDATED in human_collection table,3359,constituent_id=16230
Q68295656,Anthony Rasch,Already exists
✅ UPDATED in human_collection table,4237,constituent_id=166
Q5497544,Frederick Clarke Withers,Already exists
✅ UPDATED in human_collection table,3490,constituent_id=16538
Q5481321,Francis Hopkinson Smith,Already exists
✅ UPDATED in human_collection table,3239,constituent_id=16243
Q6409789,Kimbel and Cabus,Already exists
✅ UPDATED in human_collection table,2622,constituent_id=167
Q6226027,John Christian Rauschner,Already exists
✅ UPDATED in human_collection table,5178,constituent_id=16428
Q3418399,Rambert Dumarest,Already exists
✅ UPDATED in human_collection table,5169,constituent_id=16387
Q7366233,Rookwood Pottery Company,Already exists
✅ UPDATED in human_collection table,2102,constituent_id=16512
Q55721114,Samuel Kirk,Already exists
✅ UPDATED in human_collection table,4551,constituent_id=117
Q7326600,Richard Humphreys,Already exists
✅ UPDATED in human_collection table,5391,constituent_id=172
Q68191841,Saunders Pitman,Already exists
✅ UPDATED in human_collection table,5775,constituent_id=172
Q5280894,Dirk Van Erp,Already exists
✅ UPDATED in human_collection table,2633,constituent_id=173
Q214550,Henry William Stiegel,Already exists
✅ UPDATED in human_collection table,5841,constituent_id=16247
Q97874893,Quezal Art Glass and Decorating Company,Already exists
✅ UPDATED in human_collection table,1467,constituent_id=173
Q1160247,Daniel Crommelin Verplanck,Already exists
✅ UPDATED in human_collection table,8754,constituent_id=174
Q108254415,John Doggett,Already exists
✅ UPDATED in human_collection table,4790,constituent_id=174
Q98561965,John Elliott Sr.,Already exists
✅ UPDATED in human_collection table,6096,constituent_id=174
Q538587,Cartier,Already exists
✅ UPDATED in human_collection table,3015,constituent_id=16335
Q21029099,"Charles-Gabriel Sauvage, called Lemire pere",Already exists
✅ UPDATED in human_collection table,5598,constituent_id=175
Q8008902,William Faden the Younger,Already exists
✅ UPDATED in human_collection table,5430,constituent_id=16620
Q3083863,François Augustin Caunois,Already exists
✅ UPDATED in human_collection table,4674,constituent_id=16557
Q75557,Pierre Simon Benj. Duvivier,Already exists
✅ UPDATED in human_collection table,5809,constituent_id=3454
Q3025781,Jacques Edouard Gatteaux,Already exists
✅ UPDATED in human_collection table,4650,constituent_id=16192
Q24171285,Joseph Arnold Pingret,Already exists
✅ UPDATED in human_collection table,4435,constituent_id=16532
Q364498,Pierre Jean David d'Angers,Already exists
✅ UPDATED in human_collection table,4652,constituent_id=16387
Q918565,John Bacon the Elder,Already exists
✅ UPDATED in human_collection table,5624,constituent_id=16620
Q1751153,Jean-Jacques Barre,Already exists
✅ UPDATED in human_collection table,4553,constituent_id=16283
Q2861764,Armand-Auguste Caqué,Already exists
✅ UPDATED in human_collection table,4548,constituent_id=16333
Q767735,Augustin Dupré,Already exists
✅ UPDATED in human_collection table,5463,constituent_id=16357
Q94427610,Salathiel Ellis,Already exists
✅ UPDATED in human_collection table,4267,constituent_id=178
Q3339986,Nicolas Marie Gatteaux,Already exists
✅ UPDATED in human_collection table,5357,constituent_id=16455
Q16065669,Franklin Peale,Already exists
✅ UPDATED in human_collection table,4510,constituent_id=179
Q105610931,Johann Mathias Reich,Already exists
✅ UPDATED in human_collection table,5008,constituent_id=20451
Q58816288,Charles Cushing Wright,Already exists
✅ UPDATED in human_collection table,4463,constituent_id=180
Q5076135,Charles Caryl Coleman,Already exists
✅ UPDATED in human_collection table,3176,constituent_id=181
Q5545045,George T. Morgan,Already exists
✅ UPDATED in human_collection table,3049,constituent_id=16153
Q27940985,Daniel Dupuy,Already exists
✅ UPDATED in human_collection table,6016,constituent_id=182
Q72160303,Richard Van Dyck,Already exists
✅ UPDATED in human_collection table,6045,constituent_id=182
Q16958444,J. & G. Meakin,Already exists
✅ UPDATED in human_collection table,2930,constituent_id=16483
Q55218581,Joseph Shoemaker,Already exists
✅ UPDATED in human_collection table,5057,constituent_id=184
Q1915267,"McKim, Mead and White",Already exists
✅ UPDATED in human_collection table,8755,constituent_id=186
Q98245736,Joseph B. Barry and Son,Already exists
✅ UPDATED in human_collection table,5242,constituent_id=187
Q20853358,Thomas Hewes Hinckley,Already exists
✅ UPDATED in human_collection table,3983,constituent_id=188
Q52161471,John Bennett,Already exists
✅ UPDATED in human_collection table,3172,constituent_id=192
Q98323249,David Spinner,Already exists
✅ UPDATED in human_collection table,5213,constituent_id=196
Q104420052,"Francis Bassett, I",Already exists
✅ UPDATED in human_collection table,6399,constituent_id=181
Q98400029,Charles Meigh,Already exists
✅ UPDATED in human_collection table,3314,constituent_id=16483
Q81808335,Heinrich Roth,Already exists
✅ UPDATED in human_collection table,4594,constituent_id=727
Q87819313,Spencer Stafford,Already exists
✅ UPDATED in human_collection table,4924,constituent_id=197
Q726082,Benjamin Henry Latrobe,Already exists
✅ UPDATED in human_collection table,5077,constituent_id=16428
Q26904740,Zachariah Brigden,Already exists
✅ UPDATED in human_collection table,5724,constituent_id=187
Q67376602,Nicholas Geffroy,Already exists
✅ UPDATED in human_collection table,5148,constituent_id=199
Q109886856,Samuel Hamlin,Already exists
✅ UPDATED in human_collection table,5500,constituent_id=114
Q68367149,Paul Revere Sr.,Already exists
✅ UPDATED in human_collection table,6231,constituent_id=186
Q72164672,Samuel Vernon,Already exists
✅ UPDATED in human_collection table,6481,constituent_id=200
Q26904557,Joseph Anthony Jr.,Already exists
✅ UPDATED in human_collection table,5131,constituent_id=201
Q18531059,William Brown,Already exists
✅ UPDATED in human_collection table,4730,constituent_id=16565
Q67506667,Benjamin Halsted,Already exists
✅ UPDATED in human_collection table,5723,constituent_id=203
Q68338860,Robert Cruickshank,Already exists
✅ UPDATED in human_collection table,4943,constituent_id=203
Q67197684,Daniel Christian Fueter,Already exists
✅ UPDATED in human_collection table,5998,constituent_id=203
Q67998349,John McMullin,Already exists
✅ UPDATED in human_collection table,5067,constituent_id=203
Q70768200,Simeon Soumaine,Already exists
✅ UPDATED in human_collection table,6454,constituent_id=126
Q7794938,Thomas Webb & Sons,Already exists
✅ UPDATED in human_collection table,3270,constituent_id=202
Q98446707,E. & W. Bennett Pottery,Already exists
✅ UPDATED in human_collection table,3023,constituent_id=188
Q933160,Seth Thomas,Already exists
✅ UPDATED in human_collection table,4709,constituent_id=204
Q3132855,Henry Inman,Already exists
✅ UPDATED in human_collection table,4328,constituent_id=16457
Q98907673,William Simpkins,Already exists
✅ UPDATED in human_collection table,6201,constituent_id=200
Q46973286,John Henry Belter,Already exists
✅ UPDATED in human_collection table,4227,constituent_id=110
Q822407,Meissen Manufactory,Already exists
✅ UPDATED in human_collection table,6144,constituent_id=16483
Q8014712,William Louis Sonntag,Already exists
✅ UPDATED in human_collection table,3682,constituent_id=205
Q1680047,James Bogardus,Already exists
✅ UPDATED in human_collection table,4364,constituent_id=206
Q104816883,Joseph Dubois,Already exists
✅ UPDATED in human_collection table,5027,constituent_id=151
Q6180818,Jeremiah Dummer,Already exists
✅ UPDATED in human_collection table,6819,constituent_id=207
Q29167355,Daniel Henchman,Already exists
✅ UPDATED in human_collection table,5806,constituent_id=207
Q102400115,"Paul Revere, III",Already exists
✅ UPDATED in human_collection table,5167,constituent_id=208
Q26904576,Henricus Boelen,Already exists
✅ UPDATED in human_collection table,6317,constituent_id=208
Q113361573,Barent Ten Eyck,Already exists
✅ UPDATED in human_collection table,6086,constituent_id=212
Q98185772,Benjamin Bagnall,Already exists
✅ UPDATED in human_collection table,6408,constituent_id=213
Q98186353,Samuel Bagnall,Already exists
✅ UPDATED in human_collection table,5680,constituent_id=213
Q96184806,Gawen Brown,Already exists
✅ UPDATED in human_collection table,6015,constituent_id=213
Q70999766,Isaac Doolittle,Already exists
